Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,mileage_num,engine_num,power_num,Brand,Model
2010,72000,CNG,Manual,First,5,5.51,1.75,26.6,998,58.16,maruti,wagon
2015,41000,Diesel,Manual,First,5,16.06,12.5,19.67,1582,126.2,hyundai,creta
2011,46000,Petrol,Manual,First,5,8.61,4.5,18.2,1199,88.7,honda,jazz
2012,87000,Diesel,Manual,First,7,11.27,6,20.77,1248,88.76,maruti,ertiga
2013,40670,Diesel,Automatic,Second,5,53.14,17.74,15.2,1968,140.8,audi,a4
2012,75000,LPG,Manual,First,5,10.25,2.35,21.1,814,55.2,hyundai,eon
2013,86999,Diesel,Manual,First,5,9.47,3.5,23.08,1461,63.1,nissan,micra
2016,36000,Diesel,Automatic,First,8,21,17.5,11.36,2755,171.5,toyota,innova
2013,64430,Diesel,Manual,First,5,13.23,5.2,20.54,1598,103.6,volkswagen,vento
2012,65932,Diesel,Manual,Second,5,7.63,1.95,22.3,1248,74,tata,indica
2018,25692,Petrol,Manual,First,5,10.65,9.95,21.56,1462,103.25,maruti,ciaz
2012,60000,Petrol,Automatic,First,5,13.58,4.49,16.8,1497,116.3,honda,city
2015,64424,Diesel,Manual,First,5,7.88,5.6,25.2,1248,74,maruti,swift
2014,72000,Diesel,Automatic,First,5,120,27,12.7,2179,187.7,land,rover
2012,85000,Diesel,Automatic,Second,5,120,17.5,,2179,115,land,rover
2014,110000,Diesel,Manual,First,7,32.01,15,13.5,2477,175.56,mitsubishi,pajero
2016,58950,Diesel,Manual,First,5,8.54,5.4,25.8,1498,98.6,honda,amaze
2017,25000,Diesel,Manual,First,5,7.88,5.99,28.4,1248,74,maruti,swift
2014,77469,Diesel,Manual,First,5,15.05,6.34,20.45,1461,83.8,renault,duster
2014,78500,Diesel,Automatic,First,5,49.49,28,14.84,2143,167.62,mercedes-benz,new
2014,32982,Diesel,Automatic,First,5,47.87,18.55,22.69,1995,190,bmw,3
2015,55392,Diesel,Manual,Second,5,7.88,8.25,23.65,1248,88.5,maruti,s
2015,55985,Petrol,Automatic,First,5,67.1,23.5,13.53,1984,177.01,audi,a6
2010,45807,Petrol,Manual,First,5,10.25,1.87,18.5,1197,80,hyundai,i20
2010,33000,Petrol,Automatic,First,5,13.23,2.85,14.4,1598,103.6,volkswagen,vento
