vehicle_id,Fuel_Type,Transmission,Owner_Type,Seats
1,CNG,Manual,First,5
2,Diesel,Manual,First,5
3,Petrol,Manual,First,5
4,Diesel,Manual,First,7
5,Diesel,Automatic,Second,5
6,LPG,Manual,First,5
7,Diesel,Manual,First,5
8,Diesel,Automatic,First,8
9,Diesel,Manual,First,5
10,Diesel,Manual,Second,5
11,Petrol,Manual,First,5
12,Petrol,Automatic,First,5
13,Diesel,Manual,First,5
14,Diesel,Automatic,First,5
15,Diesel,Automatic,Second,5
16,Diesel,Manual,First,7
17,Diesel,Manual,First,5
18,Diesel,Manual,First,5
19,Diesel,Manual,First,5
20,Diesel,Automatic,First,5
21,Diesel,Automatic,First,5
22,Diesel,Manual,Second,5
23,Petrol,Automatic,First,5
24,Petrol,Manual,First,5
25,Petrol,Automatic,First,5
26,Petrol,Manual,First,5
27,Diesel,Manual,First,5
28,Petrol,Manual,Second,5
29,Petrol,Manual,First,5
30,Diesel,Manual,Fourth & Above,7
31,Diesel,Manual,First,5
32,Petrol,Manual,First,5
33,Diesel,Automatic,Second,7
34,Diesel,Automatic,First,5
35,Petrol,Manual,Second,5
36,Petrol,Manual,Second,5
37,Diesel,Manual,First,5
38,Petrol,Manual,First,5
39,Diesel,Automatic,First,5
40,Diesel,Manual,First,5
41,Petrol,Manual,Second,5
42,Petrol,Manual,First,4
43,Diesel,Manual,First,6
44,Petrol,Manual,First,5
45,Petrol,Automatic,First,5
46,Petrol,Automatic,First,5
47,Diesel,Manual,Second,5
48,Petrol,Manual,First,7
49,Diesel,Manual,First,5
50,Diesel,Manual,Second,6
51,Diesel,Automatic,First,5
52,Diesel,Manual,First,5
53,Diesel,Manual,First,5
54,Diesel,Manual,First,5
55,Petrol,Manual,Third,5
56,Petrol,Manual,First,5
57,Petrol,Manual,First,5
58,Petrol,Manual,First,5
59,Diesel,Automatic,First,5
60,Petrol,Manual,First,5
61,Diesel,Manual,First,8
62,Diesel,Manual,First,5
63,Petrol,Automatic,First,5
64,Diesel,Manual,Second,5
65,Diesel,Manual,First,5
66,Diesel,Automatic,First,5
67,Petrol,Automatic,Second,5
68,Diesel,Automatic,First,5
69,Diesel,Manual,First,7
70,Diesel,Manual,First,5
71,Petrol,Automatic,First,5
72,Diesel,Manual,First,7
73,Petrol,Automatic,First,5
74,Diesel,Manual,First,5
75,Petrol,Automatic,Second,5
76,Diesel,Automatic,Second,5
77,Diesel,Manual,First,5
78,Petrol,Manual,Third,8
79,Diesel,Manual,First,7
80,Petrol,Manual,First,5
81,Diesel,Manual,First,5
82,Petrol,Manual,First,5
83,Petrol,Manual,First,5
84,Diesel,Manual,First,5
85,Diesel,Manual,First,5
86,Petrol,Manual,First,5
87,Diesel,Automatic,Second,5
88,Petrol,Manual,First,5
89,Petrol,Manual,First,5
90,Petrol,Manual,First,5
91,Petrol,Manual,First,5
92,Diesel,Manual,First,7
93,Diesel,Automatic,First,5
94,Diesel,Manual,First,5
95,Diesel,Manual,First,7
96,Diesel,Manual,First,5
97,Diesel,Manual,First,5
98,Diesel,Manual,First,5
99,Petrol,Manual,First,5
