State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
California,949095,965377,971060,983070,989008,992608,1011298,1029748,1043225,1059618,1069745
Texas,19306327,19502808,19782306,20151913,20224051,20449963,20493136,20763307,20986825,21100724,21192011
Florida,38337273,39044912,39800167,39893291,40381936,40699141,41377227,41817932,42503056,42867095,43413474
New York,22904530,23232440,23695149,23872105,23994440,24057377,24108265,24169336,24317406,24523733,24953269
Illinois,15376359,15551540,15700317,15962767,16018448,16195284,16498495,16665834,16967729,17132568,17407202
Pennsylvania,4760582,4787862,4828957,4895621,4981517,5054835,5075120,5142290,5208325,5300967,5387650
Ohio,4594146,4630264,4713803,4737590,4770811,4817886,4869519,4885363,4965918,5064566,5148431
Georgia,15784161,16086351,16210078,16529624,16825726,17060040,17400075,17530834,17664757,17729012,17925419
North Carolina,21644162,22075115,22240291,22501362,22823031,22952932,23136480,23386027,23527630,23973764,24103414
Michigan,36113564,36222357,36756472,37282893,37753284,38275082,38848494,39260741,39975360,40664260,40767558
New Jersey,2863794,2917362,2928044,2937505,2972916,3023974,3035989,3050997,3068653,3093037,3125949
Virginia,4297359,4352234,4407687,4422595,4467130,4503786,4582780,4664550,4724523,4803718,4833062
Washington,12516708,12629896,12814792,12875007,13090519,13343866,13442998,13583891,13818300,13914356,14178949
Arizona,11115863,11158782,11326695,11483886,11656713,11734199,11885475,12101432,12295826,12487469,12555087
Massachusetts,36602005,37175268,37884186,38484317,38682894,38951328,39402276,39911387,40162021,40425526,41180557
Tennessee,12670365,12813418,12957654,13164719,13408531,13638114,13759618,13952563,14196727,14467814,14755445
Indiana,11012247,11036528,11144249,11185136,11279250,11367122,11522528,11668113,11879435,12113093,12175401
Missouri,7651028,7790559,7913646,7932958,7983942,8079323,8130028,8255840,8281287,8321147,8441156
Maryland,7563297,7619731,7672137,7813739,7875140,7986619,8022323,8142496,8162035,8272478,8316050
Wisconsin,15381229,15617009,15721006,15828265,15889158,16065149,16129641,16185682,16460891,16713441,17012719
Colorado,6570055,6646089,6757395,6845117,6877849,7005058,7133487,7243430,7315868,7443150,7549997
Minnesota,11888133,12092483,12175343,12231772,12285992,12501242,12536062,12658768,12791729,12878082,13104313
South Carolina,30868005,31037782,31255208,31775112,31931991,32246272,32518986,33084616,33512911,33906241,34193831
Alabama,22481610,22543552,22831261,23045732,23390095,23641826,23726646,23834441,23958825,24055948,24222391
Louisiana,18199056,18524430,18712582,19001892,19254087,19638428,19704996,19782385,20163215,20377924,20556712
Kentucky,22460737,22884614,23221430,23522271,23743852,23976783,24031188,24104242,24324919,24654328,25023766
Oregon,1985101,2001547,2011385,2040139,2057318,2078552,2096586,2127945,2142813,2172824,2203188
Oklahoma,25924184,26184221,26361163,26767049,27177416,27365001,27908684,28140629,28694364,29022651,29114897
Connecticut,33636374,33990115,34607033,35058523,35157381,35854397,36305160,37027054,37446655,38090157,38738680
Utah,9188202,9269200,9441642,9603071,9732195,9774467,9810816,9835773,9931515,10036257,10061625
Iowa,28769618,29074896,29545514,29808428,30321591,30842155,31019337,31518995,31869545,32442830,32699571
Nevada,39574220,40040648,40694485,40793166,41137719,41589156,41913274,42002583,42548273,43263669,43615004
Arkansas,31209290,31585797,31870694,32288030,32774936,33173450,33413719,33586213,34022753,34291162,34590961
Mississippi,7096667,7144958,7196768,7273940,7295888,7427090,7539744,7686553,7771422,7820133,7913037
Kansas,15887564,16122870,16208307,16434410,16632664,16721821,17050453,17209911,17501535,17745031,18006405
New Mexico,29728470,30263821,30527076,30761929,31199688,31797760,32129871,32531253,32728073,32830421,32898176
Nebraska,23790822,24242748,24591053,24877402,25288022,25760231,25897313,26349076,26853095,27010522,27247645
West Virginia,2595660,2612138,2618818,2625724,2654302,2701854,2746670,2775879,2822532,2838612,2869825
Idaho,22157651,22521790,22771651,22851327,23066734,23427766,23647244,23739771,23979865,24171553,24246906
Hawaii,39758200,40440866,40979492,41207328,41906532,42614377,42870466,43605795,44477709,44605410,45475091
New Hampshire,27860777,28234480,28786909,28876246,29444081,29662099,29979237,30506270,30899846,31253115,31357904
Maine,17824963,18067225,18294086,18496497,18615291,18777853,18826548,18960904,19318425,19699288,20067751
Montana,39525858,39702774,40313213,40984649,41168954,41585675,42234072,42332493,42453278,43084155,43721530
Rhode Island,37267234,37963356,38697833,39362697,39930923,40670596,41392957,41608812,42061499,42251737,42730692
Delaware,9938541,10051791,10087249,10129141,10183222,10238681,10376090,10426138,10596471,10681154,10742696
South Dakota,40579358,40717568,41265063,41425076,41884293,42100492,42750736,43498784,43976932,44273654,45108688
North Dakota,29514776,30036256,30107855,30610631,30735270,31031762,31107436,31294227,31747162,31973286,32075558
Alaska,33518752,33670231,33797183,34001512,34201999,34548667,34782870,35183917,35272623,35877897,36281407
Vermont,28378045,28905103,29304009,29706522,30052471,30220584,30717972,31170050,31369280,31986292,32204391
Wyoming,33402601,33952589,34143972,34354806,34847178,34986483,35578217,35968910,36462268,36991526,37085750
District of Columbia,34946409,35204733,35689371,36387110,36528341,37060465,37162937,37634033,38059871,38772488,39227042
Puerto Rico,2246411,2266078,2281010,2293068,2312713,2327960,2374441,2399639,2414534,2433133,2469858
